Account,date,total_pnl,num_trades,win_rate,avg_trade_size,total_trade_size,long_trades,short_trades,long_short_ratio,sentiment,activity_group,pnl_volatility,consistency_group,exposure_group,next_day_pnl,next_day_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,0.025974025974025976,14810.891818181817,6842632.02,139,323,0.42901234567901236,Greed,Low Activity,1594696.6427804816,Inconsistent,High Exposure,1927735.720035,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,0.40554231227651966,16345.241939809297,54854631.95,1572,1784,0.880672268907563,Fear,High Activity,1594696.6427804816,Inconsistent,High Exposure,,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,0.53125,2492.74990625,797679.97,145,175,0.8238636363636364,Greed,Low Activity,2481.0390250481414,Consistent,Low Exposure,17098.727055,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,0.43504104160769885,1693.3516841211435,5982611.5,1528,2005,0.7617148554336989,Fear,High Activity,2481.0390250481414,Consistent,High Exposure,,0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,0.0,6070.2,30351.0,2,3,0.5,Neutral,Low Activity,16810.324711221998,Consistent,Low Exposure,1793.1602149999999,1
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,0.8,31941.660000000003,159708.30000000002,3,2,1.0,Greed,Low Activity,16810.324711221998,Consistent,Low Exposure,29970.928216,1
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,0.43045774647887325,10836.90096830986,12310719.5,506,630,0.8019017432646592,Fear,High Activity,16810.324711221998,Consistent,High Exposure,,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,0.4437577255871446,483.5901143386898,3129795.22,3086,3386,0.911130794213168,Greed,High Activity,78803.7205356674,Inconsistent,High Exposure,10435.095669,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,0.4327347659699735,533.2378127759788,3622817.7,3606,3188,1.1307619943555973,Fear,High Activity,78803.7205356674,Inconsistent,High Exposure,,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,0.4744429882044561,2941.8256880733943,2244613.0,305,458,0.664488017429194,Greed,High Activity,45393.7982678346,Consistent,High Exposure,116412.254606,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,0.5337919870497774,3205.000631323351,7919556.5600000005,872,1599,0.545,Fear,High Activity,45393.7982678346,Consistent,High Exposure,,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,0.0,159.0,477.0,3,0,3.0,Greed,Low Activity,30964.413944042426,Consistent,Low Exposure,0.0,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,0.0,23066.935,46133.87,2,0,2.0,Greed,Low Activity,30964.413944042426,Consistent,Low Exposure,-5564.01614,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,0.3333333333333333,3048.5944444444444,82312.05,4,23,0.16666666666666666,Extreme Greed,Low Activity,30964.413944042426,Consistent,Low Exposure,215.754798,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,0.1,767.24775,61379.82,35,45,0.7608695652173914,Neutral,Low Activity,30964.413944042426,Consistent,Low Exposure,36993.371011,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,0.46794871794871795,2583.170064102564,402974.52999999997,64,92,0.6881720430107527,Greed,Low Activity,30964.413944042426,Consistent,Low Exposure,-59349.677108,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,349,0.2636103151862464,1648.5575358166188,575346.58,66,283,0.2323943661971831,Fear,Low Activity,30964.413944042426,Consistent,Low Exposure,,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,0.5277777777777778,4554.800138888889,655891.22,59,85,0.686046511627907,Greed,Low Activity,39251.38738936482,Consistent,Low Exposure,-20526.462526,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,3445,0.3193033381712627,4800.430827285922,16537484.2,1589,1856,0.8556812062466344,Fear,High Activity,39251.38738936482,Consistent,High Exposure,,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,0.41361256544502617,2786.4265445026176,532207.47,112,79,1.4,Greed,Low Activity,27061.691165498392,Consistent,Low Exposure,45883.628955,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,0.5602836879432624,4338.219787234042,611688.99,58,83,0.6904761904761905,Fear,Low Activity,27061.691165498392,Consistent,Low Exposure,,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,0.216,6480.62816,810078.52,18,107,0.16666666666666666,Greed,Low Activity,118299.28661641778,Inconsistent,Low Exposure,183403.024142,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,258,0.2441860465116279,4563.756162790698,1177449.09,83,175,0.4715909090909091,Fear,Low Activity,118299.28661641778,Inconsistent,Low Exposure,,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88,0.0,1136.3127272727272,99995.52,88,0,88.0,Extreme Greed,Low Activity,72509.12904270686,Inconsistent,Low Exposure,145563.448374,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,249,0.9518072289156626,1759.9534939759035,438228.42,3,246,0.012145748987854251,Neutral,Low Activity,72509.12904270686,Inconsistent,Low Exposure,160450.518105,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,43,0.8837209302325582,6742.71976744186,289936.95,0,43,0.0,Greed,Low Activity,72509.12904270686,Inconsistent,Low Exposure,110527.905862,1
